weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102293,69538,SIMBISA BRANDS Nairobi,4.99,101.72
2026-W07,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_marketing,CJS,63567,43066,&Flavour Town Cafe Kenya LTD,7.44,0.0
2026-W07,KE,Nairobi,Kevin Wawire,Mid-market,activation,JAJEMELO PIZZA,76089,29060,&Jajemelo Pizza,8.29,0.0
2026-W07,KE,Nairobi,Daniel Emmanuel Arkaifie,Enterprise,bolt_market_supplier,QUICKMART,166340,108865,Quickmart,0.0,2.39
2026-W10,KE,Nairobi,Kevin Wawire,Mid-market,activation,CHICKING,175613,130956,CHICKING Nairobi,7.19,0.0
2026-W10,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102298,69538,SIMBISA BRANDS Nairobi,0.0,69.36
2026-W11,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,KFC,23722,12025,&Kuku Foods/KFC,17.32,0.0
2026-W11,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,102298,69538,SIMBISA BRANDS Nairobi,2.14,0.0
2026-W11,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_churn_prevention,PIZZA MOJO,18969,13775,& Interstrat Ltd,0.2,0.0
2026-W09,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102406,69538,SIMBISA BRANDS Nairobi,0.0,27.83
2026-W06,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,FALAFEL HOUSE,19997,14532,& Falafel House Limited,1.58,4.75
2026-W06,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,102379,69538,SIMBISA BRANDS Nairobi,3.98,0.0
2026-W08,KE,Nairobi,Daniel Emmanuel Arkaifie,Enterprise,bolt_market_supplier,QUICKMART,162157,108865,Quickmart,0.0,15.83
2026-W08,KE,Nairobi,Sharon Chebet,SMB,sp_activation,THE CHEF HOUSE,12230,8836,&The Chef House,3.34,10.02
2026-W08,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,JAVA HOUSE,38883,16728,&Nairobi Java House Limited,30.62,0.0
2026-W08,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_marketing,DRIP BURGERS,101474,40416,&Drip Burgers,0.59,0.0
2026-W05,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,DOMINO'S,149667,19515,& Eat N Go/ Cold Stone,0.0,10.32
2026-W09,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,PIZZA INN,102288,69538,SIMBISA BRANDS Nairobi,1.97,1.97
2026-W04,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_marketing,MEZZA,143715,34792,&Mezza Foods Limited,0.0,133.9
2026-W04,KE,Nairobi,Sharon Chebet,SMB,reactivation,MWIKO GARDENS LIMITED,20526,14876,& Mwiko Gardens Limited,2.1,2.1
2026-W03,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA HUT,32678,22700,& Feast Ltd,27.99,0.0
2026-W03,KE,Nairobi,Sharon Chebet,SMB,engagement,THE CHEF HOUSE,12230,8836,&The Chef House,21.48,21.48
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,PIZZA INN,102165,69538,SIMBISA BRANDS Nairobi,4.87,10.35
2026-W07,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,CLASSIQUE BURGER HOUSE,25826,18389,&Classique Burger House,0.0,1.27
2026-W07,KE,Nairobi,Wambui Kogi,Mid-market,activation,BIG SQUARE,18964,13775,& Interstrat Ltd,1.44,0.0
2026-W07,KE,Nairobi,Sharon Chebet,SMB,activation,ABOUT THYME RESTAURANT,49517,34141,&About Thyme Restaurant,11.8,0.0
2026-W09,KE,Nairobi,Sharon Chebet,SMB,activation,PWANI DISHES - KIAMBU,172011,81281,Classic snacks ,1.97,0.0
2026-W11,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,PIZZA BELLISSIMA,100092,69499,&Pizza Bellissima,0.0,2.89
2026-W05,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,JAVA LOVE PANTRY,100781,16728,&Nairobi Java House Limited,0.39,0.0
2026-W05,KE,Nairobi,Sharon Chebet,SMB,activation,SAFA CATERING LIMITED,163182,122004,SAFA CATERING LIMITED Nairobi,0.3,0.0
2026-W03,KE,Nairobi,Wambui Kogi,Mid-market,activation,MC FRYS,25722,18322,&Mc Fry's,1.02,0.0
2026-W04,KE,Nairobi,Sharon Chebet,SMB,engagement,CINNAMON CAFE,143539,106508,CINNAMON CAFE Nairobi,0.85,0.85
2026-W02,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,KFC,17480,12025,&Kuku Foods/KFC,48.76,0.0
2026-W02,KE,Nairobi,Sharon Chebet,SMB,activation,LINK UP CAFE,174710,67989,&Barista Parlour Limited,2.84,0.0
2026-W02,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,JAVA HOUSE,23742,16728,&Nairobi Java House Limited,0.2,0.0
2026-W02,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_ELC_merchant,FRUITS WORLD,182844,136136,FRUITS WORLD Nairobi,13.47,0.0
2026-W10,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_churn_prevention,BBROOD,56785,38821,BBROOD,3.78,0.0
2026-W10,KE,Nairobi,Sharon Chebet,SMB,activation,THE PASTRY PALACE,53227,36617,&The Pastry Palace Limited,0.99,0.0
2025-W52,KE,Nairobi,Wambui Kogi,Mid-market,activation,CHOPIT EXPRESS,78248,45304,&ChopIt Express,5.34,0.0
2025-W52,KE,Nairobi,Kevin Wawire,Mid-market,activation,MARTYS FAMOUS BURGERS,72984,35219,&Marty's Famous Burgers,11.22,0.0
2026-W07,KE,Nairobi,Kevin Wawire,Mid-market,activation,SIAM THAI KITCHEN,82657,19138,& Ando Foods Limited,1.16,0.0
2026-W05,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,MAYURA,14083,5667,& The Mayura,0.0,0.19
2026-W05,KE,Nairobi,Sharon Chebet,SMB,activation,ASRYS CAFE SWAHILI FOOD,172136,51488,&Asrys Cafe,0.81,0.0
2025-W52,KE,Nairobi,Sharon Chebet,SMB,reactivation,MAHARAJ ENTERPRISES,29539,20856,& Maharaj Enterprises,1.33,2.46
2026-W02,KE,Nairobi,Sharon Chebet,SMB,activation,FAYAZ BAKERS,103713,41111,&FAYAZ BAKERS LIMITED,2.03,0.0
2025-W52,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,23726,12025,&Kuku Foods/KFC,0.33,0.0
2026-W01,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_portal,LAUGHING BUDDHA,81253,47736,&PIA PAPA HOLDINGS LIMITED,0.0,53.82
2026-W01,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,145583,12025,&Kuku Foods/KFC,5.0,0.0
2026-W01,KE,Nairobi,Sharon Chebet,SMB,activation,DONAIR BISTRO,113143,38979,&Jiji Fast Food Ltd,0.91,0.0
2026-W01,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_marketing,JAJEMELO PIZZA,149347,29060,&Jajemelo Pizza,0.0,34.82
2025-W01,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_exclusivity_gain,CHOWPATY,15797,11466,&Chowpaty Westlands Limited,132.56,257.32
2025-W01,KE,Nairobi,Daniel Emmanuel Arkaifie,Enterprise,bolt_market_liquidity,QUICKMART,171657,108865,Quickmart,1.89,0.0
2026-W01,KE,Nairobi,Sharon Chebet,SMB,activation,HOOYOS KITCHEN AND POETRY LIMITED,83206,56013,&Hooyo's Kitchen and Poetry Limited,2.56,0.0
2026-W02,KE,Nairobi,Sharon Chebet,SMB,sp_reactivation,MAMIIT FISH,163900,122505,Mamiit Fish,1.06,3.17
2026-W02,KE,Nairobi,Sharon Chebet,SMB,activation,MAHARAJ ENTERPRISES,29538,20856,& Maharaj Enterprises,1.09,2.02
2026-W01,KE,Nairobi,Michael Karigithu,Enterprise,activation,PIZZA INN,102404,69538,SIMBISA BRANDS Nairobi,3.37,0.0
2025-W01,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,KUNGFU PANDA RESTAURANT,174382,128668,Kungfu Pands Restaurant ,0.0,1.51
2026-W06,KE,"Mombasa, Diani, Kilifi & Malindi",Kevin Wawire,Mid-market,provider_campaign_churn_prevention,CHICKING,177276,132470,"CHICKING Mombasa, Diani, Kilifi & Malindi",0.2,0.0
2026-W08,KE,Diani,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,PIZZA INN,173367,129330,PIZZA INN Diani,2.3,1.65
2026-W01,KE,Diani,Sharon Chebet,SMB,new_city_launch,COOLWAVE RESTAURANT,174336,130075,COOLWAVE RESTAURANT Diani,7.2,0.0
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,activation,KFC,185592,12025,&Kuku Foods/KFC,15.41,0.0
2026-W07,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_marketing,CJS,168611,43066,&Flavour Town Cafe Kenya LTD,13.71,0.0
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,PAPA JOHN'S,145289,56407,&Express Kitchen Ltd,2.99,2.6
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,ARTCAFFE,27196,15278,& Artcaffe Coffee & Bakery Limited,0.0,25.87
2026-W07,KE,Nairobi,Sharon Chebet,SMB,sp_fully_funded,QAFFE SPOT,33042,23216,& Qaffe Spot,0.0,3.44
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,165819,69538,SIMBISA BRANDS Nairobi,5.78,51.67
2026-W11,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,PIZZA INN,124803,69538,SIMBISA BRANDS Nairobi,19.05,19.7
2026-W11,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_marketing,JAJEMELO PIZZA,62191,29060,&Jajemelo Pizza,0.0,73.47
2026-W11,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,BURGER KING,42647,29546,&SIA QSR KENYA LTD,0.0,50.31
2026-W11,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,ARTCAFFE,27118,15278,& Artcaffe Coffee & Bakery Limited,1.81,0.0
2026-W07,KE,Nairobi,Michael Karigithu,Enterprise,activation,JAVA HOUSE,38346,16728,&Nairobi Java House Limited,0.2,0.0
2026-W09,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,KFC,145583,12025,&Kuku Foods/KFC,28.86,0.0
2026-W09,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_marketing,ASMARA,178085,133089,ASMARA Nairobi,1.61,3.12
2026-W06,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,KFC,42064,12025,&Kuku Foods/KFC,51.65,0.0
2026-W06,KE,Nairobi,Sharon Chebet,SMB,activation,LEGACY RESTAURANT,117944,84784,LEGACY RESTAURANT Nairobi,2.1,0.0
2026-W08,KE,Nairobi,Sharon Chebet,SMB,activation,CRAFTED PIZZA,105110,73785,CRAFTED PIZZA Nairobi,4.61,0.0
2026-W05,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_gain,PIZZA INN,102182,69538,SIMBISA BRANDS Nairobi,4.88,0.0
2026-W09,KE,Nairobi,Sharon Chebet,SMB,activation,MCHANA PUB AND GRILL,133125,97832,MCHANA PUB AND GRILL Nairobi,5.01,0.0
2026-W09,KE,Nairobi,Wambui Kogi,Mid-market,activation,CJS,63570,43066,&Flavour Town Cafe Kenya LTD,7.73,0.0
2026-W06,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102292,69538,SIMBISA BRANDS Nairobi,0.0,19.74
2026-W04,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,AIR PADEL LOUNGE SPORTS BAR AND RESTAURANT,164437,122894,AIR PADEL LOUNGE,1.05,3.15
2026-W04,KE,Nairobi,Kevin Wawire,Mid-market,provider_campaign_churn_prevention,UNCLE NENE'S KITCHEN,164482,122936,UNCLE NENE'S KITCHEN Nairobi,10.28,0.0
2026-W04,KE,Nairobi,Sharon Chebet,SMB,reactivation,CHEFRON SPICE,149577,111293,Shree Vegi Veg,10.45,10.45
2026-W04,KE,Nairobi,Kevin Wawire,Mid-market,activation,CHICKING,175477,130956,CHICKING Nairobi,1.55,0.0
2026-W08,KE,Nairobi,Sharon Chebet,SMB,reactivation,PABLOS PIZZA EATERY,44887,31092,&Pablos Pizza & Eatery,1.22,1.26
2026-W08,KE,Nairobi,Kevin Wawire,Mid-market,other,MEZZA,95218,34792,&Mezza Foods Limited,3.5,0.0
2026-W08,KE,Nairobi,Sharon Chebet,SMB,activation,BALADI RESTAURANT,68298,45885,&Baladi Restaurant,1.36,0.0
2026-W11,KE,Nairobi,Sharon Chebet,SMB,activation,LA CUCINA,99910,69368,&La Cucina,5.3,0.0
2026-W05,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,PIZZA INN,102494,69538,SIMBISA BRANDS Nairobi,0.0,21.54
2026-W05,KE,Nairobi,Sharon Chebet,SMB,sp_engagement,WINGS NA MAWARU,102492,71558,WINGS NA MAWARU Nairobi,2.29,4.25
2026-W05,KE,Nairobi,Wambui Kogi,Mid-market,provider_campaign_churn_prevention,PIZZA MOJO,18965,13775,& Interstrat Ltd,15.84,0.0
2026-W10,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_marketing,SUBZ,32672,22703,& Liberty Eagle (K) Ltd,0.0,0.29
2026-W03,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,SUBZ,32673,22703,& Liberty Eagle (K) Ltd,26.58,13.78
2026-W03,KE,Nairobi,Michael Karigithu,Enterprise,provider_campaign_exclusivity_prevention,JAVA HOUSE,23463,16728,&Nairobi Java House Limited,2.39,0.0
2026-W03,KE,Nairobi,Sharon Chebet,Missing Segment,activation,911 FRIES & CHICKEN - KASARANI,144753,107711,911 FRIES & CHICKEN - KASARANI Nairobi,3.01,0.0
2026-W04,KE,Nairobi,Sharon Chebet,SMB,sp_activation,ATLAS PIZZA HUT,101448,70699,ATLAS PIZZA HUT Nairobi,1.82,5.46
2026-W07,KE,Nairobi,Kevin Wawire,Mid-market,activation,MEZZA,113956,34792,&Mezza Foods Limited,2.79,0.0
2026-W07,KE,Nairobi,Sharon Chebet,SMB,provider_campaign_churn_prevention,RIBS N WINGS,42657,19007,& Ribs n Wings,0.2,0.0
2026-W11,KE,Nairobi,Sharon Chebet,SMB,reactivation,CINNAMON CAFE,143497,106508,CINNAMON CAFE Nairobi,1.0,1.0
