weeks,Country,City,account_manager_name,business_segment,spend_objective,brand_name,provider_id,vendor_id,vendor_name,bolt_spend,provider_spend
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,reactivation,HOOD TRUCK BOY,155454,115940,HOOD TRUCK BOY Sofia,46.48,0.0
2026-W02,BG,Sofia,Elina Panayotova,Mid-market,provider_campaign_portal,MIKO SUSHI BAR|,146543,108991,MIKO SUSHI BAR| Sofia,0.0,7.16
2026-W10,BG,Sofia,Mario Gyurov,Enterprise,activation,KFC,156679,111684,KFC Sofia,76.63,0.0
2026-W10,BG,Sofia,Elina Panayotova,Mid-market,reactivation,FORNO CIPOLLINI,148129,110001,FORNO CIPOLLINI Sofia,22.6,0.0
2026-W10,BG,Sofia,Ralitsa Tomova,SMB,reactivation,PRI KOMITITE,172818,128877,PRI KOMITITE Sofia,11.79,0.0
2026-W10,BG,Sofia,Mario Gyurov,Mid-market,engagement,SHAHRAYAR PREMIUM,155694,112995,SHAHRAYAR PREMIUM Sofia,14.48,0.0
2026-W10,BG,Sofia,Elina Panayotova,Mid-market,engagement,AJ GANYO,189345,141062,AJ GANYO Sofia,10.77,0.0
2026-W04,BG,Sofia,Elina Panayotova,Mid-market,reactivation,PANTASTIC PANCAKES SOF,146627,109061,PANTASTIC PANCAKES SOF Sofia,31.37,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,engagement,CHICKENSNACK,164003,122590,CHICKENSNACK Sofia,211.46,0.0
2026-W11,BG,Sofia,Mario Gyurov,Enterprise,reactivation,BURGER KING,176327,108362,BURGER KING Sofia,168.77,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,reactivation,24 GRILL TSARIGRADSKO SHOSE,159407,119096,24 GRILL TSARIGRADSKO SHOSE Sofia,73.6,0.0
2026-W11,BG,Sofia,Mario Gyurov,Enterprise,activation,STARBUCKS,145653,108345,STARBUCKS Sofia,4.22,0.0
2026-W07,BG,Sofia,Elina Panayotova,Mid-market,activation,CLASSICO CHINESE,162242,110257,CLASSICO CHINESE Sofia,6.11,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,activation,LA BOTTEGA,173050,129059,LA BOTTEGA Sofia,4.84,0.0
2026-W06,BG,Sofia,Elina Panayotova,Mid-market,activation,RAFFY BAR & GELATO,146271,108823,RAFFY BAR & GELATO Sofia,35.32,0.0
2026-W06,BG,Sofia,Mario Gyurov,Mid-market,engagement,PIZZIO SOF,144023,107100,PIZZIO SOF Sofia,30.15,0.0
2026-W11,BG,Sofia,Mario Gyurov,Mid-market,sp_activation,POKEME,149786,111459,POKEME Sofia,55.74,14.5
2026-W08,BG,Sofia,Mario Gyurov,Enterprise,engagement,KFC,150040,111684,KFC Sofia,105.54,0.0
2026-W05,BG,Sofia,Mario Gyurov,Enterprise,sp_activation,SKAPTO BURGERS & FRIES,172087,110533,SKAPTO BURGERS & FRIES  SOFIA Sofia,8.57,2.18
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,sp_engagement,BURGERZONATA,150085,111712,BURGERZONATA Sofia,7.45,4.96
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,provider_campaign_churn_prevention,ARTE GELATO,156665,116928,ARTE GELATO Sofia,0.29,0.0
2026-W05,BG,Sofia,Mario Gyurov,Enterprise,sp_new_city_launch,SKAPTO BURGERS & FRIES,163200,110533,SKAPTO BURGERS & FRIES  SOFIA Sofia,71.22,26.25
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,engagement,BANICHARNITSA ZAEDNO,187955,140035,BANICHARNITSA ZAEDNO Sofia,5.19,0.0
2026-W09,BG,Sofia,Ralitsa Tomova,SMB,sp_reactivation,MY SUSHI BAR,145782,108441,MY SUSHI BAR Sofia,16.19,10.79
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,activation,LA PIETRA,178703,133624,LA PIETRA Sofia,20.82,0.0
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,reactivation,IL FORNETTO,147954,110005,IL FORNETTO Sofia,17.5,0.0
2026-W09,BG,Sofia,Elina Panayotova,Mid-market,sp_activation,KOHINOOR,149078,110892,Кохинор-София ЕООД,14.47,3.66
2025-W01,BG,Sofia,Elina Panayotova,Mid-market,activation,JOSEPH LAVASH,180401,134979,JOSEPH LAVASH Sofia,5.93,0.0
2025-W01,BG,Sofia,Mario Gyurov,Enterprise,reactivation,PAPA JOHNS BULGARIA,161061,120465,PAPA JOHNS BULGARIA Sofia,30.56,0.0
2025-W01,BG,Sofia,Elina Panayotova,SMB,provider_campaign_churn_prevention,THE RUSTY GRILL BURGERS AND MORE,160771,120195,THE RUSTY GRILL BURGERS AND MORE Sofia,0.46,0.0
2025-W01,BG,Sofia,Ralitsa Tomova,SMB,activation,THE JUNGLE  SOF,178013,133031,THE JUNGLE  SOF Sofia,7.81,0.0
2026-W02,BG,Sofia,Ralitsa Tomova,SMB,engagement,CHEF EVROPEYSKI,176423,131768,CHEF EVROPEYSKI Sofia,3.16,0.0
2026-W10,BG,Sofia,Elina Panayotova,Mid-market,activation,ROSSO WAFFLES,183423,136582,ROSSO WAFFLES Sofia,3.33,0.0
2026-W04,BG,Sofia,Ralitsa Tomova,SMB,sp_new_city_launch,GARAM MASALA,164509,122954,GARAM MASALA Sofia,17.86,8.38
2026-W04,BG,Sofia,Ralitsa Tomova,SMB,engagement,MRUVKATA,174471,130195,MRUVKATA Sofia,3.64,0.0
2026-W01,BG,Sofia,Elina Panayotova,Mid-market,engagement,GREEK POINT STAVROS,145983,108589,GREEK POINT STAVROS Sofia,21.08,0.0
2026-W12,BG,Sofia,Mario Gyurov,Enterprise,activation,KFC,152105,111684,KFC Sofia,526.94,0.0
2026-W12,BG,Sofia,Ralitsa Tomova,SMB,activation,ISOS,183927,136640,ISOS Sofia,45.4,0.0
2026-W12,BG,Sofia,Mario Gyurov,Mid-market,engagement,BRUNCH BOX,145650,108349,BRUNCH BOX Sofia,98.93,0.0
2026-W12,BG,Sofia,Elina Panayotova,Mid-market,activation,CARNIVALE,144117,107184,CARNIVALE Sofia,31.62,0.0
2026-W12,BG,Sofia,Ralitsa Tomova,SMB,activation,LAZIZA DONER,189596,115251,LAZIZA DONER Sofia,11.34,0.0
2026-W08,BG,Sofia,Mario Gyurov,Mid-market,sp_engagement,GRANO PIZZA,152109,107131,GRANO PIZZA Sofia,34.81,23.2
2026-W08,BG,Sofia,Elina Panayotova,Mid-market,reactivation,PANTASTIC PANCAKES SOF,146627,109061,PANTASTIC PANCAKES SOF Sofia,39.1,0.0
2026-W04,BG,Sofia,Ralitsa Tomova,SMB,activation,AFAMYA DONER,178381,133350,AFAMYA DONER Sofia,4.47,0.0
2026-W09,BG,Sofia,Ralitsa Tomova,SMB,engagement,GATO NEGROO,171242,127628,GATO NEGROO Sofia,18.53,0.0
2026-W03,BG,Sofia,Ralitsa Tomova,SMB,engagement,YOKO SUSHI,167703,125385,YOKO SUSHI Sofia,6.82,0.0
2026-W08,BG,Sofia,Ralitsa Tomova,SMB,reactivation,THE MOVIN FOODTRUCK,186166,138696,THE MOVIN FOODTRUCK Sofia,6.83,0.0
2026-W05,BG,Sofia,Elina Panayotova,Mid-market,activation,LA BOTTEGA,173146,129059,LA BOTTEGA Sofia,4.97,0.0
2026-W08,BG,Sofia,Elina Panayotova,Mid-market,engagement,PIZZA AND WINE,155448,115937,PIZZA AND WINE Sofia,4.95,0.0
2026-W08,BG,Sofia,Mario Gyurov,Mid-market,marketing,WOK TO WALK BG,180245,108357,WOK TO WALK BG Sofia,9.32,0.0
2026-W10,BG,Sofia,Mario Gyurov,Mid-market,provider_campaign_churn_prevention,WOK TO WALK BG,163193,108357,WOK TO WALK BG Sofia,1.16,0.0
2026-W02,BG,Sofia,Mario Gyurov,Enterprise,engagement,KFC,174055,111684,KFC Sofia,9.1,0.0
2026-W02,BG,Sofia,Ralitsa Tomova,SMB,reactivation,INDIA HOUSE RESTAURANT,168027,125626,INDIA HOUSE RESTAURANT Sofia,10.61,0.0
2026-W05,BG,Sofia,Elina Panayotova,Mid-market,engagement,WISH PROTEIN BAR AND SHOP,152425,112979,WISH PROTEIN BAR AND SHOP Sofia,0.0,0.0
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,provider_campaign_churn_prevention,NOVITE HALBI,148760,110624,Martin,0.29,0.0
2026-W12,BG,Sofia,Elina Panayotova,Mid-market,activation,RESTAURANT WITH A PLAYGROUND RAY,178140,133136,RESTAURANT WITH A PLAYGROUND RAY Sofia,28.43,0.0
2026-W12,BG,Sofia,Mario Gyurov,Enterprise,sp_activation,SKAPTO BURGERS & FRIES,170741,110533,SKAPTO BURGERS & FRIES  SOFIA Sofia,9.17,2.32
2026-W05,BG,Sofia,Elina Panayotova,Mid-market,provider_campaign_churn_prevention,BMS BULGARIAN CUISINE SOF,146070,107102,BMS BULGARIAN CUISINE SOF Sofia,0.23,0.0
2026-W01,BG,Sofia,Ralitsa Tomova,SMB,activation,MESDELIKATES,175713,131162,MESDELIKATES Sofia,9.1,0.0
2026-W10,BG,Sofia,Ralitsa Tomova,SMB,engagement,GASTRONOM,190192,141773,GASTRONOM Sofia,4.78,0.0
2026-W06,BG,Sofia,Mario Gyurov,Mid-market,sp_engagement,GRANO PIZZA,145783,107131,GRANO PIZZA Sofia,4.64,3.09
2026-W12,BG,Sofia,Elina Panayotova,Mid-market,activation,VETRILO,143961,107024,VETRILO Sofia,7.26,0.0
2026-W09,BG,Sofia,Mario Gyurov,Mid-market,reactivation,WOK TO WALK BG,163193,108357,WOK TO WALK BG Sofia,8.68,0.0
2026-W08,BG,Sofia,Ralitsa Tomova,SMB,reactivation,CHEXOV,159384,119073,CHEXOV Sofia,9.25,0.0
2026-W10,BG,Plovdiv,Ralitsa Tomova,SMB,activation,KAVA SUSHI,184296,137253,KAVA SUSHI Plovdiv,29.67,0.0
2026-W11,BG,Plovdiv,Ralitsa Tomova,SMB,activation,KUNG FU EXPRESS CHINESE RESTAURANT|,186303,138801,KUNG FU EXPRESS CHINESE RESTAURANT| Plovdiv,41.53,0.0
2026-W12,BG,Plovdiv,Mario Gyurov,Mid-market,activation,FUN YI CHINESE - PLOVDIV,185855,138475,FUN YI CHINESE - PLOVDIV Plovdiv,124.88,0.0
2026-W08,BG,Plovdiv,Mario Gyurov,Enterprise,activation,GYRO LAND PLOVDIV,182690,135993,GYRO LAND KICHUKA Plovdiv,17.56,0.0
2026-W06,BG,Sofia,Ralitsa Tomova,SMB,engagement,ISOS,183927,136640,ISOS Sofia,9.73,0.0
2026-W05,BG,Sofia,Mario Gyurov,Enterprise,engagement,KFC,153862,111684,KFC Sofia,36.52,0.0
2026-W03,BG,Sofia,Mario Gyurov,Enterprise,engagement,SENIOR BURRITO,178713,133634,SENIOR BURRITO - SERDIKA CENTER Sofia,5.64,0.0
2026-W03,BG,Sofia,Ralitsa Tomova,SMB,engagement,AFAMYA,178547,133493,AFAMYA Sofia,12.73,0.0
2026-W03,BG,Sofia,Elina Panayotova,Mid-market,activation,KITAISKI VAZRAJDANE,168881,126310,KITAISKI VAZRAJDANE Sofia,22.95,0.0
2026-W07,BG,Sofia,Elina Panayotova,Mid-market,sp_reactivation,ROSSO WAFFLES,183423,136582,ROSSO WAFFLES Sofia,2.21,1.48
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,engagement,33 WAFFLES AND PANCAKES,169200,126577,33 WAFFLES AND PANCAKES Sofia,6.51,0.0
2026-W02,BG,Sofia,Elina Panayotova,Mid-market,engagement,PITA GYROS,152074,113243,PITA GYROS Sofia,20.35,0.0
2026-W02,BG,Sofia,Ralitsa Tomova,SMB,provider_campaign_churn_prevention,BUBBLE HOUSE WAFFLES,147936,109992,BUBBLE HOUSE WAFFLES Sofia,0.23,0.0
2026-W02,BG,Sofia,Elina Panayotova,Mid-market,engagement,YORGOS & PAVLOS,146040,108630,YORGOS & PAVLOS Sofia,4.23,0.0
2026-W02,BG,Sofia,Ralitsa Tomova,SMB,reactivation,GLAD LI,155517,115994,GLAD LI Sofia,8.15,0.0
2026-W10,BG,Sofia,Ralitsa Tomova,SMB,engagement,RESTAURANT OASIS,184972,137800,RESTAURANT OASIS Sofia,10.57,0.0
2026-W10,BG,Sofia,Mario Gyurov,Mid-market,activation,HUA SING,160666,120118,HUA SING Sofia,179.98,0.0
2026-W10,BG,Sofia,Mario Gyurov,Mid-market,reactivation,CONSTANTINOFF RESTOBAR,177044,132275,CONSTANTINOFF RESTOBAR Sofia,22.68,0.0
2026-W10,BG,Sofia,Ralitsa Tomova,SMB,engagement,MYCHOCHI,180294,134896,MYCHOCHI Sofia,16.98,0.0
2026-W04,BG,Sofia,Ralitsa Tomova,SMB,reactivation,OMONIMO,173568,129476,OMONIMO Sofia,26.83,0.0
2026-W04,BG,Sofia,Elina Panayotova,Mid-market,activation,JOSEPH LAVASH,180401,134979,JOSEPH LAVASH Sofia,16.82,0.0
2026-W04,BG,Sofia,Mario Gyurov,Enterprise,engagement,KFC,174055,111684,KFC Sofia,7.03,0.0
2026-W11,BG,Sofia,Elina Panayotova,Mid-market,reactivation,SANTE LEBANESE RESTAURANT,155763,116193,SANTE LEBANESE RESTAURANT Sofia,25.6,0.0
2026-W04,BG,Sofia,Mario Gyurov,Enterprise,reactivation,KFC,174055,111684,KFC Sofia,41.82,0.0
2026-W11,BG,Sofia,Mario Gyurov,Enterprise,activation,BOOM BURGERS!,145089,107969,BOOM BURGERS! Sofia,106.4,0.0
2026-W07,BG,Sofia,Elina Panayotova,Mid-market,engagement,GREEK POINT STAVROS,145983,108589,GREEK POINT STAVROS Sofia,24.26,0.0
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,engagement,MEHANA DOBRUDZHANKA,177053,132281,MEHANA DOBRUDZHANKA Sofia,6.16,0.0
2026-W11,BG,Sofia,Ralitsa Tomova,SMB,reactivation,YOKO SUSHI,167694,125385,YOKO SUSHI Sofia,30.64,0.0
2026-W06,BG,Sofia,Ralitsa Tomova,SMB,engagement,PRIGAVAZA,167884,122956,PRIGAVAZA Sofia,21.7,0.0
2026-W06,BG,Sofia,Elina Panayotova,Mid-market,sp_reactivation,KOHINOOR,149078,110892,Кохинор-София ЕООД,12.55,8.36
2026-W06,BG,Sofia,Mario Gyurov,Mid-market,reactivation,ZENOBIA,176995,132241,ZENOBIA Sofia,104.98,0.0
2026-W11,BG,Sofia,Ralitsa Tomova,SMB,engagement,FLY DUNER & BURGER,170424,127299,FLY DUNER & BURGER Sofia,0.78,0.0
2026-W11,BG,Sofia,Mario Gyurov,Mid-market,engagement,SHTASTLIVECA,176904,132166,SHTASTLIVECA Sofia,20.18,0.0
2026-W11,BG,Sofia,Ralitsa Tomova,SMB,reactivation,AFAMYA DONER,178381,133350,AFAMYA DONER Sofia,1.99,0.0
2026-W08,BG,Sofia,Elina Panayotova,Mid-market,engagement,GREEK RESTAURANT YAMAS,183328,136501,GREEK RESTAURANT YAMAS Sofia,12.06,0.0
2026-W07,BG,Sofia,Ralitsa Tomova,SMB,activation,YOKO SUSHI,167717,125385,YOKO SUSHI Sofia,22.96,0.0
2026-W03,BG,Sofia,Elina Panayotova,Mid-market,sp_new_city_launch,RESTAURANT WITH A PLAYGROUND RAY,178140,133136,RESTAURANT WITH A PLAYGROUND RAY Sofia,93.89,51.37
2026-W09,BG,Sofia,Mario Gyurov,Enterprise,engagement,KFC,178749,111684,KFC Sofia,232.41,0.0
2026-W09,BG,Sofia,Ralitsa Tomova,SMB,engagement,PRIGAVAZA,167884,122956,PRIGAVAZA Sofia,6.39,0.0
